id,category_id,name,price,calories,is_vegetarian,is_spicy,is_featured,is_available,preparation_time_minutes,description,allergens,tags,image_url,created_at,updated_at
1,1,Classic Smash Burger,8.99,550,False,False,True,True,8,"Juicy smash patty with lettuce, tomato, and our secret sauce","[""gluten"",""dairy"",""egg""]","[""bestseller"",""classic"",""beef""]",/images/products/classic_smash_burger.jpg,2023-04-30 00:00:00,2023-05-15 00:00:00
2,1,Double Cheese Burger,10.99,750,False,False,True,True,10,Two beef patties stacked with double American cheese,"[""gluten"",""dairy""]","[""classic"",""beef"",""cheesy""]",/images/products/double_cheese_burger.jpg,2023-04-30 00:00:00,2023-05-15 00:00:00
3,1,BBQ Bacon Burger,12.99,850,False,False,False,True,10,"Smoky BBQ sauce, crispy bacon, and caramelized onions","[""gluten"",""dairy"",""pork""]","[""bbq"",""bacon"",""beef""]",/images/products/bbq_bacon_burger.jpg,2023-04-30 00:00:00,2023-05-15 00:00:00
4,1,Spicy Jalapeno Burger,11.49,680,False,True,True,True,8,"Fresh jalapenos, pepper jack cheese, and chipotle mayo","[""gluten"",""dairy"",""egg""]","[""spicy"",""beef"",""hot""]",/images/products/spicy_jalapeno_burger.jpg,2023-04-30 00:00:00,2023-05-15 00:00:00
5,1,Mushroom Swiss Burger,11.99,620,False,False,False,True,10,Sauteed mushrooms and melted Swiss cheese on a brioche bun,"[""gluten"",""dairy""]","[""classic"",""beef"",""mushroom""]",/images/products/mushroom_swiss_burger.jpg,2023-04-30 00:00:00,2023-05-15 00:00:00
6,1,Crispy Chicken Burger,9.99,590,False,False,True,True,12,Buttermilk-marinated crispy chicken breast with pickles,"[""gluten"",""dairy"",""egg""]","[""bestseller"",""chicken"",""crispy""]",/images/products/crispy_chicken_burger.jpg,2023-04-30 00:00:00,2023-05-15 00:00:00
7,1,Veggie Garden Burger,9.49,420,True,False,False,True,10,House-made black bean and quinoa patty with avocado,"[""gluten""]","[""vegetarian"",""vegan"",""healthy""]",/images/products/veggie_garden_burger.jpg,2023-04-30 00:00:00,2023-05-15 00:00:00
8,1,The QuickBite Special,14.99,950,False,True,True,True,12,"Double patty, 3 cheeses, bacon, fried egg, and special sauce","[""gluten"",""dairy"",""egg"",""pork""]","[""signature"",""premium"",""indulgent""]",/images/products/the_quickbite_special.jpg,2023-04-30 00:00:00,2023-05-15 00:00:00
9,2,Crispy Tenders 3pc,7.99,380,False,False,True,True,10,Hand-breaded chicken tenders with choice of dipping sauce,"[""gluten"",""egg""]","[""bestseller"",""chicken"",""crispy""]",/images/products/crispy_tenders_3pc.jpg,2023-04-30 00:00:00,2023-05-15 00:00:00
10,2,Crispy Tenders 6pc,13.99,760,False,False,False,True,12,Six golden crispy tenders great for sharing,"[""gluten"",""egg""]","[""sharing"",""chicken"",""crispy""]",/images/products/crispy_tenders_6pc.jpg,2023-04-30 00:00:00,2023-05-15 00:00:00
