id,code,name,description,discount_type,discount_value,min_order_amount,max_discount_amount,usage_limit,usage_count,is_active,starts_at,expires_at,created_at
1,WELCOME20,New User 20% Off,New User 20% Off promotion,percentage,20,0,10,,0,True,2023-05-30 00:00:00,2028-05-28 23:59:59,2023-05-27 00:00:00
2,WEEKEND10,Weekend 10% Off,Weekend 10% Off promotion,percentage,10,15,8,,0,True,2023-05-30 00:00:00,2028-05-28 23:59:59,2023-05-27 00:00:00
3,LUNCH15,Lunch Rush 15% Off,Lunch Rush 15% Off promotion,percentage,15,12,6,,0,True,2023-05-30 00:00:00,2028-05-28 23:59:59,2023-05-27 00:00:00
4,FREEDELIVERY,Free Delivery,Free Delivery promotion,fixed,3.99,20,3.99,,0,True,2023-05-30 00:00:00,2028-05-28 23:59:59,2023-05-27 00:00:00
5,COMBO5OFF,Combo 5 Off,Combo 5 Off promotion,fixed,5,25,5,,0,True,2023-05-30 00:00:00,2028-05-28 23:59:59,2023-05-27 00:00:00
6,LOYALTY10,Loyalty Member 10% Off,Loyalty Member 10% Off promotion,percentage,10,20,12,,0,True,2023-05-30 00:00:00,2028-05-28 23:59:59,2023-05-27 00:00:00
7,REFER15,Referral 15% Off,Referral 15% Off promotion,percentage,15,0,12,,0,True,2023-05-30 00:00:00,2028-05-28 23:59:59,2023-05-27 00:00:00
8,APP20,App-Exclusive 20% Off,App-Exclusive 20% Off promotion,percentage,20,10,15,,0,True,2023-05-30 00:00:00,2028-05-28 23:59:59,2023-05-27 00:00:00
9,SUMMER2023,Summer Special 2023,Summer Special 2023 promotion,percentage,20,10,15,1000,264,True,2023-06-01 00:00:00,2023-08-30 00:00:00,2023-05-29 00:00:00
10,HOLIDAY2023,Holiday Special 2023,Holiday Special 2023 promotion,percentage,10,10,15,1000,431,True,2023-11-01 00:00:00,2023-12-30 00:00:00,2023-10-29 00:00:00
11,SPRING2023,Spring Special 2023,Spring Special 2023 promotion,percentage,10,10,15,1000,378,True,2023-03-01 00:00:00,2023-05-30 00:00:00,2023-02-26 00:00:00
12,SUMMER2024,Summer Special 2024,Summer Special 2024 promotion,percentage,10,10,15,1000,254,True,2024-06-01 00:00:00,2024-08-30 00:00:00,2024-05-29 00:00:00
